,Player_Stats (College/Univ),Player_Stats (Univ_State),School,City and State,Type,Conference,Division,Sub-division
1920,Vanderbilt,TN,Vanderbilt University,"Nashville, Tennessee",Private,Southeastern Conference,NCAA D1,FBS
1921,Memphis,TN,University of Memphis,"Memphis, Tennessee",Public,American Athletic Conference,NCAA D1,FBS
1922,Virginia,VA,University of Virginia,"Charlottesville, Virginia",Public,Atlantic Coast Conference,NCAA D1,FBS
1923,Virginia,VA,University of Virginia,"Charlottesville, Virginia",Public,Atlantic Coast Conference,NCAA D1,FBS
1924,Pittsburgh,PA,University of Pittsburgh,"Pittsburgh, Pennsylvania",Public,Atlantic Coast Conference,NCAA D1,FBS
1925,Villanova,PA,Villanova University,"Villanova, Pennsylvania",Private,Big East Conference,NCAA D1,FCS
1926,Duquesne,PA,Duquesne University,"Pittsburgh, Pennsylvania",Private,Altantic 10 Conference,NCAA D1,FCS
1927,SMU,TX,Southern Methodist University – SMU,"Dallas, Texas",Private,American Athletic Conference,NCAA D1,FBS
1928,TCU,TX,Texas Christian University,"Fort Worth, Texas",Private,Big 12 Conference,NCAA D1,FBS
1929,North Texas,TX,University of North Texas,"Denton, Texas",Public,Conference USA,NCAA D1,FBS
1930,Texas Tech,TX,Texas Tech University,"Lubbock, Texas",Public,Big 12 Conference,NCAA D1,FBS
1931,Houston,TX,University of Houston,"Houston, Texas",Public,American Athletic Conference,NCAA D1,FBS
1932,Trinity Valley CC (TX),TX,Trinity Valley Community College,"Athens, Texas",Public,NJCAA Southwest Junior College Football Conference,Junior College,JC
1933,Alabama,AL,University of Alabama,"Tuscaloosa, Alabama",Public,Southeastern Conference,NCAA D1,FBS
1934,Alabama,AL,University of Alabama,"Tuscaloosa, Alabama",Public,Southeastern Conference,NCAA D1,FBS
1935,Iowa,IA,University of Iowa,"Iowa City, Iowa",Public,Big Ten Conference,NCAA D1,FBS
1936,Iowa,IA,University of Iowa,"Iowa City, Iowa",Public,Big Ten Conference,NCAA D1,FBS
1937,Georgia Tech,GA,Georgia Tech,"Atlanta, Georgia",Public,Atlantic Coast Conference,NCAA D1,FBS
1938,Chadron St.,NE,Chadron State College,"Chadron, Nebraska",Public,Rocky Mountain Athletic Conference,NCAA D2,NCAA D2
1939,Arizona St.,AZ,Arizona State University,"Tempe, Arizona",Public,Pac-12 Conference,NCAA D1,FBS
1940,Arizona,AZ,University of Arizona,"Tucson, Arizona",Public,Pac-12 Conference,NCAA D1,FBS
1941,Kent St.,OH,Kent State University,"Kent, Ohio",Public,Mid-American Conference,NCAA D1,FBS
1942,Cincinnati,OH,University of Cincinnati,"Cincinnati, Ohio",Public,American Athletic Conference,NCAA D1,FBS
1943,Ohio,OH,Ohio University,"Athens, Ohio",Public,Mid-American Conference,NCAA D1,FBS
1944,Ohio,OH,Ohio University,"Athens, Ohio",Public,Mid-American Conference,NCAA D1,FBS
1945,Connecticut,CT,University of Connecticut,"Storrs, Connecticut",Public,Big East Conference,NCAA D1,FBS
1946,Boston Col.,MA,Boston College,"Chestnut Hill, Massachusetts",Private,Atlantic Coast Conference,NCAA D1,FBS
1947,Boston Col.,MA,Boston College,"Chestnut Hill, Massachusetts",Private,Atlantic Coast Conference,NCAA D1,FBS
1948,Massachusetts,MA,University of Massachusetts – Amherst,"Amherst, Massachusetts",Public,Atlantic 10 Conference,NCAA D1,FBS
1949,Oregon St.,OR,Oregon State University,"Corvallis, Oregon",Public,Pac-12 Conference,NCAA D1,FBS
1950,Oregon,OR,University of Oregon,"Eugene, Oregon",Public,Pac-12 Conference,NCAA D1,FBS
1951,Hofstra,NY,Hofstra University,"Hempstead, New York",Private,Colonial Athletic Association,NCAA D1,FCS
1952,South Carolina St.,SC,South Carolina State University,"Orangeburg, South Carolina",Public,Mid-Eastern Athletic Conference,NCAA D1,FCS
1953,Mississippi St.,MS,Mississippi State University,"Mississippi State, Mississippi",Public,Southeastern Conference,NCAA D1,FBS
1954,Mississippi,MS,University of Mississippi,"University, Mississippi",Public,Southeastern Conference,NCAA D1,FBS
1955,Louisville,KY,University of Louisville,"Louisville, Kentucky",Public,Atlantic Coast Conference,NCAA D1,FBS
1956,Kentucky,KY,University of Kentucky,"Lexington, Kentucky",Public,Southeastern Conference,NCAA D1,FBS
1957,Eastern Kentucky,KY,Eastern Kentucky University,"Richmond, Kentucky",Public,Atlantic Sun Conference,NCAA D1,FCS
1958,Maryland,MD,University of Maryland,"College Park, Maryland",Public,Big Ten Conference,NCAA D1,FBS
1959,Rutgers,NJ,Rutgers University,"Piscataway, New Jersey",Public,Big Ten Conference,NCAA D1,FBS
1960,Rutgers,NJ,Rutgers University,"Piscataway, New Jersey",Public,Big Ten Conference,NCAA D1,FBS
1961,Rutgers,NJ,Rutgers University,"Piscataway, New Jersey",Public,Big Ten Conference,NCAA D1,FBS
1962,Rutgers,NJ,Rutgers University,"Piscataway, New Jersey",Public,Big Ten Conference,NCAA D1,FBS
1963,SE Missouri St.,MO,Southeast Missouri State University,"Cape Girardeau, Missouri",Public,Ohio Valley Conference,NCAA D1,FCS
1964,Howard,DC,Howard University,"Washington, District Of Columbia",Private,Mid-Eastern Athletic Conference,NCAA D1,FCS
1965,Montana St.,MT,Montana State University,"Bozeman, Montana",Public,Big Sky Conference,NCAA D1,FCS
1966,BYU,UT,Brigham Young University,"Provo, Utah",Private,West Coast Conference,NCAA D1,FBS
1967,North Carolina,NC,University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
1968,North Carolina,NC,University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
1969,Wake Forest,NC,Wake Forest University,"Winston-Salem, North Carolina",Private,Atlantic Coast Conference,NCAA D1,FBS
1970,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
