,Player_Stats (College/Univ),Player_Stats (Univ_State),School,City and State,Type,Conference,Division,Sub-division
0,BYU,UT,Brigham Young University,"Provo, Utah",Private,West Coast Conference,NCAA D1,FBS
1,North Carolina St.,NC,North Carolina State University,"Raleigh, North Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
2,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
3,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
4,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
5,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
6,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
7,LSU,LA,Louisiana State University (LSU),"Baton Rouge, Louisiana",Public,Southeastern Conference,NCAA D1,FBS
8,LSU,LA,Louisiana State University (LSU),"Baton Rouge, Louisiana",Public,Southeastern Conference,NCAA D1,FBS
9,Louisiana,LA,University of Louisiana,"Lafayette, Louisiana",Public,Sun Belt Conference,NCAA D1,FBS
10,Florida St.,FL,Florida State University,"Tallahassee, Florida",Public,Atlantic Coast Conference,NCAA D1,FBS
11,Florida St.,FL,Florida State University,"Tallahassee, Florida",Public,Atlantic Coast Conference,NCAA D1,FBS
12,Miami (FL),FL,University of Miami,"Coral Gables, Florida",Private,Atlantic Coast Conference,NCAA D1,FBS
13,Miami (FL),FL,University of Miami,"Coral Gables, Florida",Private,Atlantic Coast Conference,NCAA D1,FBS
14,Miami (FL),FL,University of Miami,"Coral Gables, Florida",Private,Atlantic Coast Conference,NCAA D1,FBS
15,Oklahoma St.,OK,Oklahoma State University,"Stillwater, Oklahoma",Public,Big 12 Conference,NCAA D1,FBS
16,Deakin (Australia),Australia,Deakin University,"Victoria, Australia",Public,,,
17,Delaware,DE,University of Delaware,"Newark, Delaware",Public,Colonial Athletic Association,NCAA D1,FCS
18,Notre Dame,IN,University of Notre Dame,"Notre Dame, Indiana",Private,Division I-A Independents,NCAA D1,FBS
19,Notre Dame,IN,University of Notre Dame,"Notre Dame, Indiana",Private,Division I-A Independents,NCAA D1,FBS
20,Purdue,IN,Purdue University,"West Lafayette, Indiana",Public,Big Ten Conference,NCAA D1,FBS
21,Fresno St.,CA,California State University-Fresno,"Fresno, California",Public,Mountain West Conference ,NCAA D1,FBS
22,Fresno St.,CA,California State University-Fresno,"Fresno, California",Public,Mountain West Conference ,NCAA D1,FBS
23,USC,CA,University of Southern California,"Los Angeles, California",Private,Pac-12 Conference,NCAA D1,FBS
24,USC,CA,University of Southern California,"Los Angeles, California",Private,Pac-12 Conference,NCAA D1,FBS
25,California,CA,University of California-Berkeley,"Berkeley, California",Public,Pac-12 Conference,NCAA D1,FBS
26,UCLA,CA,University of California – Los Angeles – UCLA,"Los Angeles, California",Public,Pac-12 Conference,NCAA D1,FBS
27,Colorado St.,CO,Colorado State University,"Fort Collins, Colorado",Public,Mountain West Conference,NCAA D1,FBS
28,Northern Colorado,CO,University of Northern Colorado,"Greeley, Colorado",Public,Big Sky Conference,NCAA D1,FCS
29,Tennessee St.,TN,Tennessee State University,"Nashville, Tennessee",Public,Ohio Valley Conference,NCAA D1,FCS
30,Virginia,VA,University of Virginia,"Charlottesville, Virginia",Public,Atlantic Coast Conference,NCAA D1,FBS
31,Virginia Tech,VA,Virginia Tech,"Blacksburg, Virginia",Public,Atlantic Coast Conference,NCAA D1,FBS
32,Richmond,VA,University of Richmond,Virginia,Private,Atlantic 10 Conference,NCAA D1,FCS
33,Pittsburgh,PA,University of Pittsburgh,"Pittsburgh, Pennsylvania",Public,Atlantic Coast Conference,NCAA D1,FBS
34,Pittsburgh,PA,University of Pittsburgh,"Pittsburgh, Pennsylvania",Public,Atlantic Coast Conference,NCAA D1,FBS
35,Penn St.,PA,Penn State,"University Park, Pennsylvania",Public,Big Ten Conference,NCAA D1,FBS
36,Clarion,PA,Pennsylvania Western University-Clarion,"Clarion, Pennsylvania",Public,Pennsylvania State Athletic Conference,NCAA D2,NCAA D2
37,Trinity (TX),TX,Trinity University – Texas,"San Antonio, Texas",Private,Southern Athletic Association,NCAA D3,NCAA D3
38,Texas,TX,University of Texas – Austin,"Austin, Texas",Public,Big 12 Conference,NCAA D1,FBS
39,Texas Southern,TX,Texas Southern University,"Houston, Texas",Public,Southwestern Athletic Conference,NCAA D1,FCS
40,Auburn,AL,Auburn University,"Auburn, Alabama",Public,Southeastern Conference,NCAA D1,FBS
41,Auburn,AL,Auburn University,"Auburn, Alabama",Public,Southeastern Conference,NCAA D1,FBS
42,Alabama,AL,University of Alabama,"Tuscaloosa, Alabama",Public,Southeastern Conference,NCAA D1,FBS
43,Iowa,IA,University of Iowa,"Iowa City, Iowa",Public,Big Ten Conference,NCAA D1,FBS
44,Northern Iowa,IA,University of Northern Iowa,"Cedar Falls, Iowa",Public,Missouri Valley Conference,NCAA D1,FCS
45,Georgia,GA,University of Georgia,"Athens, Georgia",Public,Southeastern Conference,NCAA D1,FBS
46,Kansas St.,KS,Kansas State University,"Manhattan, Kansas",Public,Big 12 Conference,NCAA D1,FBS
47,Illinois,IL,University of Illinois,"Champaign, Illinois",Public,Big Ten Conference,NCAA D1,FBS
48,Illinois,IL,University of Illinois,"Champaign, Illinois",Public,Big Ten Conference,NCAA D1,FBS
49,Idaho St.,ID,Idaho State University,"Pocatello, Idaho",Public,Big Sky Conference,NCAA D1,FCS
50,Nebraska,NE,University of Nebraska,"Lincoln, Nebraska",Public,Big Ten Conference,NCAA D1,FBS
51,Brown,RI,Brown University,"Providence, Rhode Island",Private,Ivy League,NCAA D1,FCS
52,Arizona St.,AZ,Arizona State University,"Tempe, Arizona",Public,Pac-12 Conference,NCAA D1,FBS
53,Hawaii,HI,University of Hawaii at Manoa,"Honolulu, Hawaii",Public,Mountain West Conference,NCAA D1,FBS
54,BYU,UT,Brigham Young University,"Provo, Utah",Private,West Coast Conference,NCAA D1,FBS
55,BYU,UT,Brigham Young University,"Provo, Utah",Private,West Coast Conference,NCAA D1,FBS
56,Utah,UT,University of Utah,"Salt Lake City, Utah",Public,Pac-12 Conference,NCAA D1,FBS
57,North Carolina,NC,University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
58,North Carolina,NC,University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
59,North Carolina,NC,University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
60,Duke,NC,Duke University,"Durham, North Carolina",Private,Atlantic Coast Conference,NCAA D1,FBS
61,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
62,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
63,LSU,LA,Louisiana State University (LSU),"Baton Rouge, Louisiana",Public,Southeastern Conference,NCAA D1,FBS
64,Louisiana,LA,University of Louisiana,"Lafayette, Louisiana",Public,Sun Belt Conference,NCAA D1,FBS
65,Tulane,LA,Tulane University,"New Orleans, Louisiana",Private,American Athletic Conference,NCAA D1,FBS
66,Florida St.,FL,Florida State University,"Tallahassee, Florida",Public,Atlantic Coast Conference,NCAA D1,FBS
67,Florida St.,FL,Florida State University,"Tallahassee, Florida",Public,Atlantic Coast Conference,NCAA D1,FBS
68,Florida St.,FL,Florida State University,"Tallahassee, Florida",Public,Atlantic Coast Conference,NCAA D1,FBS
69,Miami (FL),FL,University of Miami,"Coral Gables, Florida",Private,Atlantic Coast Conference,NCAA D1,FBS
70,Florida,FL,University of Florida,"Gainesville, Florida",Public,Southeastern Conference,NCAA D1,FBS
71,Florida,FL,University of Florida,"Gainesville, Florida",Public,Southeastern Conference,NCAA D1,FBS
72,Oklahoma St.,OK,Oklahoma State University,"Stillwater, Oklahoma",Public,Big 12 Conference,NCAA D1,FBS
73,USC,CA,University of Southern California,"Los Angeles, California",Private,Pac-12 Conference,NCAA D1,FBS
74,UCLA,CA,University of California – Los Angeles – UCLA,"Los Angeles, California",Public,Pac-12 Conference,NCAA D1,FBS
75,UCLA,CA,University of California – Los Angeles – UCLA,"Los Angeles, California",Public,Pac-12 Conference,NCAA D1,FBS
76,Northern Colorado,CO,University of Northern Colorado,"Greeley, Colorado",Public,Big Sky Conference,NCAA D1,FCS
77,Colorado,CO,University of Colorado – Boulder,"Boulder, Colorado",Public,Pac-12 Conference,NCAA D1,FBS
78,Virginia,VA,University of Virginia,"Charlottesville, Virginia",Public,Atlantic Coast Conference,NCAA D1,FBS
79,Virginia,VA,University of Virginia,"Charlottesville, Virginia",Public,Atlantic Coast Conference,NCAA D1,FBS
80,Penn St.,PA,Penn State,"University Park, Pennsylvania",Public,Big Ten Conference,NCAA D1,FBS
81,Penn St.,PA,Penn State,"University Park, Pennsylvania",Public,Big Ten Conference,NCAA D1,FBS
82,Texas,TX,University of Texas – Austin,"Austin, Texas",Public,Big 12 Conference,NCAA D1,FBS
83,Texas,TX,University of Texas – Austin,"Austin, Texas",Public,Big 12 Conference,NCAA D1,FBS
84,TCU,TX,Texas Christian University,"Fort Worth, Texas",Private,Big 12 Conference,NCAA D1,FBS
85,Auburn,AL,Auburn University,"Auburn, Alabama",Public,Southeastern Conference,NCAA D1,FBS
86,Alabama,AL,University of Alabama,"Tuscaloosa, Alabama",Public,Southeastern Conference,NCAA D1,FBS
87,Alabama,AL,University of Alabama,"Tuscaloosa, Alabama",Public,Southeastern Conference,NCAA D1,FBS
88,Alabama,AL,University of Alabama,"Tuscaloosa, Alabama",Public,Southeastern Conference,NCAA D1,FBS
89,Georgia,GA,University of Georgia,"Athens, Georgia",Public,Southeastern Conference,NCAA D1,FBS
90,Georgia Tech,GA,Georgia Tech,"Atlanta, Georgia",Public,Atlantic Coast Conference,NCAA D1,FBS
91,Kansas,KS,University of Kansas,"Lawrence, Kansas",Public,Big 12 Conference,NCAA D1,FBS
92,Illinois,IL,University of Illinois,"Champaign, Illinois",Public,Big Ten Conference,NCAA D1,FBS
93,Illinois,IL,University of Illinois,"Champaign, Illinois",Public,Big Ten Conference,NCAA D1,FBS
94,Northwestern,IL,Northwestern University,"Evanston, Illinois",Private,Big Ten Conference,NCAA D1,FBS
95,Arizona St.,AZ,Arizona State University,"Tempe, Arizona",Public,Pac-12 Conference,NCAA D1,FBS
96,Northern Arizona,AZ,Northern Arizona University,"Flagstaff, Arizona",Public,Big Sky Conference,NCAA D1,FCS
97,Kent St.,OH,Kent State University,"Kent, Ohio",Public,Mid-American Conference,NCAA D1,FBS
98,Ohio St.,OH,Ohio State University,"Columbus, Ohio",Public,Big Ten Conference,NCAA D1,FBS
99,Cincinnati,OH,University of Cincinnati,"Cincinnati, Ohio",Public,American Athletic Conference,NCAA D1,FBS
100,Miami (OH),OH,Miami University,"Oxford, Ohio",Public,Mid-American Conference,NCAA D1,FBS
101,Tiffin,OH,Tiffin University,"Tiffin, Ohio",Private,Great Midwest Athletic Conference,NCAA D2,NCAA D2
102,Washington,WA,University of Washington,"Seattle, Washington",Public,Pac-12 Conference,NCAA D1,FBS
103,Minnesota,MN,University of Minnesota,"Minneapolis, Minnesota",Public,Big Ten Conference,NCAA D1,FBS
104,Minnesota,MN,University of Minnesota,"Minneapolis, Minnesota",Public,Big Ten Conference,NCAA D1,FBS
105,Minnesota,MN,University of Minnesota,"Minneapolis, Minnesota",Public,Big Ten Conference,NCAA D1,FBS
106,Oregon,OR,University of Oregon,"Eugene, Oregon",Public,Pac-12 Conference,NCAA D1,FBS
107,Syracuse,NY,Syracuse University,"Syracuse, New York",Private,American Athletics Conference,NCAA D1,FBS
108,Hofstra,NY,Hofstra University,"Hempstead, New York",Private,Colonial Athletic Association,NCAA D1,FCS
109,Clemson,SC,Clemson University,"Clemson, South Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
110,Southern Miss,MS,University of Southern Mississippi,"Hattiesburg, Mississippi",Public,Sun Belt Conference,NCAA D1,FBS
111,Louisville,KY,University of Louisville,"Louisville, Kentucky",Public,Atlantic Coast Conference,NCAA D1,FBS
112,Rutgers,NJ,Rutgers University,"Piscataway, New Jersey",Public,Big Ten Conference,NCAA D1,FBS
113,Marshall,WV,Marshall University,"Huntington, West Virginia",Public,Conference USA,NCAA D1,FBS
114,BYU,UT,Brigham Young University,"Provo, Utah",Private,West Coast Conference,NCAA D1,FBS
115,Wake Forest,NC,Wake Forest University,"Winston-Salem, North Carolina",Private,Atlantic Coast Conference,NCAA D1,FBS
116,Wake Forest,NC,Wake Forest University,"Winston-Salem, North Carolina",Private,Atlantic Coast Conference,NCAA D1,FBS
117,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
118,Eastern Michigan,MI,Eastern Michigan University,"Ypsilanti, Michigan",Public,Mid-American Conference,NCAA D1,FBS
119,Eastern Michigan,MI,Eastern Michigan University,"Ypsilanti, Michigan",Public,Mid-American Conference,NCAA D1,FBS
120,Louisiana Tech,LA,Louisiana Tech University,"Ruston, Louisiana",Public,Conference USA,NCAA D1,FBS
121,Southern,LA,Southern University & A&M College,"Baton Rouge, Louisiana",Public,Southwestern Athletic Conference,NCAA D1,FCS
122,Grambling St.,LA,Grambling State University,"Grambling, Louisiana",Public,Southwestern Athletic Conference,NCAA D1,FCS
123,Florida St.,FL,Florida State University,"Tallahassee, Florida",Public,Atlantic Coast Conference,NCAA D1,FBS
124,Florida A&M,FL,Florida A&M University,"Tallahassee, Florida",Public,Southwestern Athletic Conference,NCAA D1,FCS
125,Oklahoma St.,OK,Oklahoma State University,"Stillwater, Oklahoma",Public,Big 12 Conference,NCAA D1,FBS
126,Notre Dame,IN,University of Notre Dame,"Notre Dame, Indiana",Private,Division I-A Independents,NCAA D1,FBS
127,Notre Dame,IN,University of Notre Dame,"Notre Dame, Indiana",Private,Division I-A Independents,NCAA D1,FBS
128,USC,CA,University of Southern California,"Los Angeles, California",Private,Pac-12 Conference,NCAA D1,FBS
129,USC,CA,University of Southern California,"Los Angeles, California",Private,Pac-12 Conference,NCAA D1,FBS
130,California,CA,University of California-Berkeley,"Berkeley, California",Public,Pac-12 Conference,NCAA D1,FBS
131,UCLA,CA,University of California – Los Angeles – UCLA,"Los Angeles, California",Public,Pac-12 Conference,NCAA D1,FBS
132,Tennessee St.,TN,Tennessee State University,"Nashville, Tennessee",Public,Ohio Valley Conference,NCAA D1,FCS
133,Penn St.,PA,Penn State,"University Park, Pennsylvania",Public,Big Ten Conference,NCAA D1,FBS
134,Penn St.,PA,Penn State,"University Park, Pennsylvania",Public,Big Ten Conference,NCAA D1,FBS
135,Temple,PA,Temple University,"Philadelphia, Pennsylvania",Public,American Athletic Conference,NCAA D1,FBS
136,Texas Southern,TX,Texas Southern University,"Houston, Texas",Public,Southwestern Athletic Conference,NCAA D1,FCS
137,North Texas,TX,University of North Texas,"Denton, Texas",Public,Conference USA,NCAA D1,FBS
138,Texas A&M-Commerce,TX,Texas A&M University – Commerce,"Commerce, Texas",Public,Lone Star Conference,NCAA D1,FCS
139,Alabama A&M,AL,Alabama A&M University,"Normal, Alabama",Public,Southwestern Athletic Conference,NCAA D1,FCS
140,Georgia,GA,University of Georgia,"Athens, Georgia",Public,Southeastern Conference,NCAA D1,FBS
141,Kansas,KS,University of Kansas,"Lawrence, Kansas",Public,Big 12 Conference,NCAA D1,FBS
142,Wichita St.,KS,Wichita State University ,"Wichita, Kansas",Public,American Athletic Conference,NCAA D1,FBS
143,Western Illinois,IL,Western Illinois University,"Macomb, Illinois",Public,Ohio Valley Conference,NCAA D1,FCS
144,Rhode Island,RI,University of Rhode Island,"Kingston, Rhode Island",Public,Atlantic Ten Conference,NCAA D1,FCS
145,Kent St.,OH,Kent State University,"Kent, Ohio",Public,Mid-American Conference,NCAA D1,FBS
146,Cincinnati,OH,University of Cincinnati,"Cincinnati, Ohio",Public,American Athletic Conference,NCAA D1,FBS
147,Washington,WA,University of Washington,"Seattle, Washington",Public,Pac-12 Conference,NCAA D1,FBS
148,South Carolina St.,SC,South Carolina State University,"Orangeburg, South Carolina",Public,Mid-Eastern Athletic Conference,NCAA D1,FCS
149,Allen,SC,Allen University,"Columbia, South Carolina",Private,Southern Intercol. Ath. Conf.,NCAA D2,NCAA D2
150,New Mexico St.,NM,New Mexico State University,"Las Cruces, New Mexico",Public,Sun Belt Conference,NCAA D1,FBS
151,Morgan St.,MD,Morgan State University,"Baltimore, Maryland",Public,Mid-Eastern Athletic Conference,NCAA D1,FCS
152,Morgan St.,MD,Morgan State University,"Baltimore, Maryland",Public,Mid-Eastern Athletic Conference,NCAA D1,FCS
153,Wisconsin,WI,University of Wisconsin,"Madison, Wisconsin",Public,Big Ten Conference,NCAA D1,FBS
154,Missouri,MO,University of Missouri,"Columbia, Missouri",Public,Southeastern Conference,NCAA D1,FBS
155,Arkansas,AR,University of Arkansas,"Fayetteville, Arkansas",Public,Southeastern Conference,NCAA D1,FBS
156,Ark-Pine Bluff,AR,University of Arkansas at Pine Bluff,"Pine Bluff, Arkansas",Public,Southwestern Athletic Conference,NCAA D1,FCS
157,BYU,UT,Brigham Young University,"Provo, Utah",Private,West Coast Conference,NCAA D1,FBS
158,BYU,UT,Brigham Young University,"Provo, Utah",Private,West Coast Conference,NCAA D1,FBS
159,Utah,UT,University of Utah,"Salt Lake City, Utah",Public,Pac-12 Conference,NCAA D1,FBS
160,Utah,UT,University of Utah,"Salt Lake City, Utah",Public,Pac-12 Conference,NCAA D1,FBS
161,North Carolina,NC,University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
162,North Carolina,NC,University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
163,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
164,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
165,Michigan St.,MI,Michigan State University,"East Lansing, Michigan",Public,Big Ten Conference,NCAA D1,FBS
166,Eastern Michigan,MI,Eastern Michigan University,"Ypsilanti, Michigan",Public,Mid-American Conference,NCAA D1,FBS
167,Central Michigan,MI,Central Michigan University,"Mount Pleasant, Michigan",Public,Mid-American Conference,NCAA D1,FBS
168,LSU,LA,Louisiana State University (LSU),"Baton Rouge, Louisiana",Public,Southeastern Conference,NCAA D1,FBS
169,Louisiana,LA,University of Louisiana,"Lafayette, Louisiana",Public,Sun Belt Conference,NCAA D1,FBS
170,Tulane,LA,Tulane University,"New Orleans, Louisiana",Private,American Athletic Conference,NCAA D1,FBS
171,Florida St.,FL,Florida State University,"Tallahassee, Florida",Public,Atlantic Coast Conference,NCAA D1,FBS
172,Florida St.,FL,Florida State University,"Tallahassee, Florida",Public,Atlantic Coast Conference,NCAA D1,FBS
173,Florida,FL,University of Florida,"Gainesville, Florida",Public,Southeastern Conference,NCAA D1,FBS
174,Florida,FL,University of Florida,"Gainesville, Florida",Public,Southeastern Conference,NCAA D1,FBS
175,Notre Dame,IN,University of Notre Dame,"Notre Dame, Indiana",Private,Division I-A Independents,NCAA D1,FBS
176,Indiana,IN,Indiana University,"Bloomington, Indiana",Public,Big Ten Conference,NCAA D1,FBS
177,USC,CA,University of Southern California,"Los Angeles, California",Private,Pac-12 Conference,NCAA D1,FBS
178,Northern Colorado,CO,University of Northern Colorado,"Greeley, Colorado",Public,Big Sky Conference,NCAA D1,FCS
179,Tennessee,TN,University of Tennessee,"Knoxville, Tennessee",Public,Southeastern Conference,NCAA D1,FBS
180,Virginia,VA,University of Virginia,"Charlottesville, Virginia",Public,Atlantic Coast Conference,NCAA D1,FBS
181,Virginia,VA,University of Virginia,"Charlottesville, Virginia",Public,Atlantic Coast Conference,NCAA D1,FBS
182,Virginia Tech,VA,Virginia Tech,"Blacksburg, Virginia",Public,Atlantic Coast Conference,NCAA D1,FBS
183,Penn St.,PA,Penn State,"University Park, Pennsylvania",Public,Big Ten Conference,NCAA D1,FBS
184,Texas,TX,University of Texas – Austin,"Austin, Texas",Public,Big 12 Conference,NCAA D1,FBS
185,Texas,TX,University of Texas – Austin,"Austin, Texas",Public,Big 12 Conference,NCAA D1,FBS
186,Texas,TX,University of Texas – Austin,"Austin, Texas",Public,Big 12 Conference,NCAA D1,FBS
187,SMU,TX,Southern Methodist University – SMU,"Dallas, Texas",Private,American Athletic Conference,NCAA D1,FBS
188,Baylor,TX,Baylor University,"Waco, Texas",Private,Big 12 Conference,NCAA D1,FBS
189,Alabama,AL,University of Alabama,"Tuscaloosa, Alabama",Public,Southeastern Conference,NCAA D1,FBS
190,Troy,AL,Troy University,"Troy, Alabama",Public,Sun Belt Conference,NCAA D1,FBS
191,Georgia,GA,University of Georgia,"Athens, Georgia",Public,Southeastern Conference,NCAA D1,FBS
192,Georgia Tech,GA,Georgia Tech,"Atlanta, Georgia",Public,Atlantic Coast Conference,NCAA D1,FBS
193,Georgia Tech,GA,Georgia Tech,"Atlanta, Georgia",Public,Atlantic Coast Conference,NCAA D1,FBS
194,Illinois,IL,University of Illinois,"Champaign, Illinois",Public,Big Ten Conference,NCAA D1,FBS
195,Northwestern,IL,Northwestern University,"Evanston, Illinois",Private,Big Ten Conference,NCAA D1,FBS
196,Kent St.,OH,Kent State University,"Kent, Ohio",Public,Mid-American Conference,NCAA D1,FBS
197,Ohio St.,OH,Ohio State University,"Columbus, Ohio",Public,Big Ten Conference,NCAA D1,FBS
198,Bowling Green,OH,Bowling Green State University,"Bowling Green, Ohio",Public,Mid-American Conference,NCAA D1,FBS
199,Miami (OH),OH,Miami University,"Oxford, Ohio",Public,Mid-American Conference,NCAA D1,FBS
200,Minnesota,MN,University of Minnesota,"Minneapolis, Minnesota",Public,Big Ten Conference,NCAA D1,FBS
201,Oregon St.,OR,Oregon State University,"Corvallis, Oregon",Public,Pac-12 Conference,NCAA D1,FBS
202,Oregon,OR,University of Oregon,"Eugene, Oregon",Public,Pac-12 Conference,NCAA D1,FBS
203,Clemson,SC,Clemson University,"Clemson, South Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
204,Clemson,SC,Clemson University,"Clemson, South Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
205,Mississippi,MS,University of Mississippi,"University, Mississippi",Public,Southeastern Conference,NCAA D1,FBS
206,Louisville,KY,University of Louisville,"Louisville, Kentucky",Public,Atlantic Coast Conference,NCAA D1,FBS
207,Bowie St.,MD,Bowie State University,"Bowie, Maryland",Public,Central Intercollegiate Athletic Association,NCAA D2,NCAA D2
208,Missouri,MO,University of Missouri,"Columbia, Missouri",Public,Southeastern Conference,NCAA D1,FBS
209,Arkansas St.,AR,Arkansas State University,"Jonesboro, Arkansas",Public,Sun Belt Conference,NCAA D1,FBS
210,Marshall,WV,Marshall University,"Huntington, West Virginia",Public,Conference USA,NCAA D1,FBS
211,Marshall,WV,Marshall University,"Huntington, West Virginia",Public,Conference USA,NCAA D1,FBS
212,West Virginia,WV,West Virginia University,"Morgantown, West Virginia",Public,Big 12 Conference,NCAA D1,FBS
213,BYU,UT,Brigham Young University,"Provo, Utah",Private,West Coast Conference,NCAA D1,FBS
214,North Carolina St.,NC,North Carolina State University,"Raleigh, North Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
215,Wake Forest,NC,Wake Forest University,"Winston-Salem, North Carolina",Private,Atlantic Coast Conference,NCAA D1,FBS
216,Wake Forest,NC,Wake Forest University,"Winston-Salem, North Carolina",Private,Atlantic Coast Conference,NCAA D1,FBS
217,Eastern Michigan,MI,Eastern Michigan University,"Ypsilanti, Michigan",Public,Mid-American Conference,NCAA D1,FBS
218,Louisiana Tech,LA,Louisiana Tech University,"Ruston, Louisiana",Public,Conference USA,NCAA D1,FBS
219,Southern,LA,Southern University & A&M College,"Baton Rouge, Louisiana",Public,Southwestern Athletic Conference,NCAA D1,FCS
220,Grambling St.,LA,Grambling State University,"Grambling, Louisiana",Public,Southwestern Athletic Conference,NCAA D1,FCS
221,Florida St.,FL,Florida State University,"Tallahassee, Florida",Public,Atlantic Coast Conference,NCAA D1,FBS
222,Florida A&M,FL,Florida A&M University,"Tallahassee, Florida",Public,Southwestern Athletic Conference,NCAA D1,FCS
223,Oklahoma St.,OK,Oklahoma State University,"Stillwater, Oklahoma",Public,Big 12 Conference,NCAA D1,FBS
224,Delaware St.,DE,Delaware State University,"Dover, Delaware",Public,Mid-Eastern Athletic Conference,NCAA D1,FCS
225,Notre Dame,IN,University of Notre Dame,"Notre Dame, Indiana",Private,Division I-A Independents,NCAA D1,FBS
226,Notre Dame,IN,University of Notre Dame,"Notre Dame, Indiana",Private,Division I-A Independents,NCAA D1,FBS
227,USC,CA,University of Southern California,"Los Angeles, California",Private,Pac-12 Conference,NCAA D1,FBS
228,USC,CA,University of Southern California,"Los Angeles, California",Private,Pac-12 Conference,NCAA D1,FBS
229,California,CA,University of California-Berkeley,"Berkeley, California",Public,Pac-12 Conference,NCAA D1,FBS
230,UCLA,CA,University of California – Los Angeles – UCLA,"Los Angeles, California",Public,Pac-12 Conference,NCAA D1,FBS
231,Tennessee St.,TN,Tennessee State University,"Nashville, Tennessee",Public,Ohio Valley Conference,NCAA D1,FCS
232,Penn St.,PA,Penn State,"University Park, Pennsylvania",Public,Big Ten Conference,NCAA D1,FBS
233,Penn St.,PA,Penn State,"University Park, Pennsylvania",Public,Big Ten Conference,NCAA D1,FBS
234,Temple,PA,Temple University,"Philadelphia, Pennsylvania",Public,American Athletic Conference,NCAA D1,FBS
235,Texas Southern,TX,Texas Southern University,"Houston, Texas",Public,Southwestern Athletic Conference,NCAA D1,FCS
236,TCU,TX,Texas Christian University,"Fort Worth, Texas",Private,Big 12 Conference,NCAA D1,FBS
237,Prairie View A&M,TX,Prairie View A & M University,"Prairie View, Texas",Public,Southwestern Athletic Conference,NCAA D1,FCS
238,North Texas,TX,University of North Texas,"Denton, Texas",Public,Conference USA,NCAA D1,FBS
239,North Texas,TX,University of North Texas,"Denton, Texas",Public,Conference USA,NCAA D1,FBS
240,Texas A&M-Commerce,TX,Texas A&M University – Commerce,"Commerce, Texas",Public,Lone Star Conference,NCAA D1,FCS
241,Alabama A&M,AL,Alabama A&M University,"Normal, Alabama",Public,Southwestern Athletic Conference,NCAA D1,FCS
242,Georgia,GA,University of Georgia,"Athens, Georgia",Public,Southeastern Conference,NCAA D1,FBS
243,Georgia,GA,University of Georgia,"Athens, Georgia",Public,Southeastern Conference,NCAA D1,FBS
244,Kansas,KS,University of Kansas,"Lawrence, Kansas",Public,Big 12 Conference,NCAA D1,FBS
245,Wichita St.,KS,Wichita State University ,"Wichita, Kansas",Public,American Athletic Conference,NCAA D1,FBS
246,Illinois,IL,University of Illinois,"Champaign, Illinois",Public,Big Ten Conference,NCAA D1,FBS
247,Western Illinois,IL,Western Illinois University,"Macomb, Illinois",Public,Ohio Valley Conference,NCAA D1,FCS
248,Rhode Island,RI,University of Rhode Island,"Kingston, Rhode Island",Public,Atlantic Ten Conference,NCAA D1,FCS
249,Kent St.,OH,Kent State University,"Kent, Ohio",Public,Mid-American Conference,NCAA D1,FBS
250,Cincinnati,OH,University of Cincinnati,"Cincinnati, Ohio",Public,American Athletic Conference,NCAA D1,FBS
251,Washington,WA,University of Washington,"Seattle, Washington",Public,Pac-12 Conference,NCAA D1,FBS
252,Clemson,SC,Clemson University,"Clemson, South Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
