Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,O_Passing,O_Passing,O_Passing,O_Passing,O_Passing,O_Passing,O_Passing,O_Passing,O_Passing,O_Rushing,O_Rushing,O_Rushing,O_Rushing,O_Receiving,O_Receiving,O_Receiving,O_Receiving,O_Fumbles,O_Fumbles,D_Interceptions,D_Interceptions,D_Interceptions,D_Interceptions,D_Sacks,D_Tackles,D_Tackles,D_Tackles,D_Fumbles,D_Fumbles,D_Fumbles,D_Fumbles,SPT_Kick_Returns,SPT_Kick_Returns,SPT_Kick_Returns,SPT_Kick_Returns,SPT_Kick_Returns,SPT_Punt_Returns,SPT_Punt_Returns,SPT_Punt_Returns,SPT_Punt_Returns,SPT_Punt_Returns,SPT_Scoring,SPT_Scoring,SPT_Scoring,SPT_Scoring,SPT_Punting,SPT_Punting,SPT_Punting,SPT_Punting
Tm,SB,Key,Player,No.,Age,Pos,College/Univ,College/Univ 2,College/Univ 3,BirthDate,Yrs,Super_bowl,Team,Pts,MVP,Stadium,City,State,Date,W/L,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Rec,Yds,TD,Lng,Fmb,FL,Int,Yds,TD,Lng,Sk,Comb,Solo,Ast,FR,Yds,TD,FF,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng
GNB,1,GNB1,Ray Nitschke,66,30,MLB,Illinois,None,None,12/29/1936,8,I,Green Bay Packers,35,Bart Starr+,Memorial Coliseum,Los Angeles,California,1/15/1967,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,1,GNB1,Robert Brown,78,27,DE,Ark-Pine Bluff,None,None,2/23/1939,Rook,I,Green Bay Packers,35,Bart Starr+,Memorial Coliseum,Los Angeles,California,1/15/1967,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,1,GNB1,Lionel Aldridge,82,25,RDE,Utah St.,None,None,2/14/1941,3,I,Green Bay Packers,35,Bart Starr+,Memorial Coliseum,Los Angeles,California,1/15/1967,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,1,GNB1,Lee Roy Caffey,60,25,RLB,Texas A&M,None,None,6/3/1941,3,I,Green Bay Packers,35,Bart Starr+,Memorial Coliseum,Los Angeles,California,1/15/1967,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,1,GNB1,Herb Adderley,26,27,LCB,Michigan St.,None,None,6/8/1939,5,I,Green Bay Packers,35,Bart Starr+,Memorial Coliseum,Los Angeles,California,1/15/1967,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,1,GNB1,Bob Jeter,21,29,RCB,Iowa,None,None,5/9/1937,3,I,Green Bay Packers,35,Bart Starr+,Memorial Coliseum,Los Angeles,California,1/15/1967,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,1,GNB1,Ron Kostelnik,77,26,LDT,Cincinnati,None,None,1/14/1940,5,I,Green Bay Packers,35,Bart Starr+,Memorial Coliseum,Los Angeles,California,1/15/1967,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,1,GNB1,Tom Brown,40,26,FS,Maryland,None,None,12/12/1940,2,I,Green Bay Packers,35,Bart Starr+,Memorial Coliseum,Los Angeles,California,1/15/1967,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,1,GNB1,Bob Skoronski,76,32,LT,Indiana,None,None,3/5/1934,10,I,Green Bay Packers,35,Bart Starr+,Memorial Coliseum,Los Angeles,California,1/15/1967,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,1,GNB1,Donny Anderson,44,23,RB,Texas Tech,None,None,5/16/1943,Rook,I,Green Bay Packers,35,Bart Starr+,Memorial Coliseum,Los Angeles,California,1/15/1967,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,25,0,25,3,25,8.3,0,15,0,0,0,0,0,0,0,0
